"variable","variable_comp","t_literal","p_t_literal","correlation_literal","p_correlation_literal","t_sentimental","p_t_sentimental","correlation_sentimental","p_correlation_sentimental","t_joined","p_t_joined","correlation_joined","p_correlation_joined"
"income","prop_adjacent_dependency_relation_std",32.4,"****",-0.02,"ns",32.4,"****",0.01,"ns",45.84,"****",0,"ns"
"householdSize","concreteness",-17.5,"****",-0.08,"ns",-9.28,"****",0.07,"ns",-18.59,"****",0,"ns"
"householdSize","imageability",-19.21,"****",-0.06,"ns",-13,"****",0.04,"ns",-22.55,"****",0,"ns"
"householdSize","prop_adjacent_dependency_relation_std",23.64,"****",0.03,"ns",23.58,"****",-0.04,"ns",33.41,"****",0,"ns"
"livingArea","arousal",26.07,"****",0,"ns",25.95,"****",0,"ns",36.8,"****",0,"ns"
"livingArea","sentence_length_mean",24.71,"****",-0.09,"ns",24.88,"****",0.09,"*",35.09,"****",0,"ns"
"livingArea","sentence_length_median",24.72,"****",-0.08,"ns",24.89,"****",0.09,"*",35.1,"****",0,"ns"
"timeTaken","flesch_reading_ease",35.79,"****",-0.02,"ns",33.7,"****",0.01,"ns",49.12,"****",0,"ns"
"timeTaken","lix",27.75,"****",0.04,"ns",28.29,"****",-0.03,"ns",39.64,"****",0,"ns"
"spelling_errors","householdSize",-18.85,"****",-0.02,"ns",-18.01,"****",0.03,"ns",-26.07,"****",0.01,"ns"
"spelling_errors","timeTaken",-39.76,"****",0.04,"ns",-39.74,"****",-0.02,"ns",-56.25,"****",0.01,"ns"
"sentiment","imageability",-182.39,"****",-0.03,"ns",-101.1,"****",0.01,"ns",-166.91,"****",0.01,"ns"
"sentiment","syllables_per_token_median",-62.26,"****",-0.02,"ns",-39.67,"****",0.01,"ns",-67.45,"****",0.01,"ns"
"sentiment","n_tokens",-49.07,"****",0.02,"ns",-46.37,"****",0.01,"ns",-67.43,"****",0.01,"ns"
"sentiment","n_unique_tokens",-52.2,"****",0,"ns",-47.46,"****",0.01,"ns",-70.3,"****",0.01,"ns"
"sentiment","coleman_liau_index",-68.44,"****",-0.02,"ns",-53.69,"****",0.02,"ns",-84.77,"****",0.01,"ns"
"sentiment","lix",-77.96,"****",-0.03,"ns",-59.34,"****",0.03,"ns",-94.77,"****",0.01,"ns"
"concreteness","valence",-4.46,"****",-0.07,"ns",-31.29,"****",0.11,"*",-22.34,"****",0.01,"ns"
"valence","concreteness",4.46,"****",-0.07,"ns",31.29,"****",0.11,"*",22.34,"****",0.01,"ns"
"valence","token_length_std",44.5,"****",-0.01,"ns",48.52,"****",0.04,"ns",64.78,"****",0.01,"ns"
"valence","proportion_unique_tokens",268.97,"****",-0.01,"ns",200.82,"****",0.02,"ns",321.75,"****",0.01,"ns"
"arousal","sentence_length_mean",-27.34,"****",0.09,"ns",-21.67,"****",0.05,"ns",-34.53,"****",0.01,"ns"
"arousal","n_characters",-51.08,"****",0.12,"*",-48.45,"****",0.02,"ns",-70.21,"****",0.01,"ns"
"imageability","sentiment",182.39,"****",-0.03,"ns",101.1,"****",0.01,"ns",166.91,"****",0.01,"ns"
"imageability","token_length_std",43.86,"****",-0.12,"**",31.83,"****",-0.13,"**",49.2,"****",0.01,"ns"
"token_length_std","valence",-44.5,"****",-0.01,"ns",-48.52,"****",0.04,"ns",-64.78,"****",0.01,"ns"
"token_length_std","imageability",-43.86,"****",-0.12,"**",-31.83,"****",-0.13,"**",-49.2,"****",0.01,"ns"
"token_length_std","n_tokens",-33.77,"****",-0.11,"*",-33.08,"****",0.11,"*",-47.21,"****",0.01,"ns"
"token_length_std","n_unique_tokens",-34.97,"****",-0.1,"*",-33.5,"****",0.11,"*",-48.33,"****",0.01,"ns"
"token_length_std","dependency_distance_mean",25.21,"****",-0.09,"ns",15.05,"****",0.11,"*",27.7,"****",0.01,"ns"
"sentence_length_mean","arousal",27.34,"****",0.09,"ns",21.67,"****",0.05,"ns",34.53,"****",0.01,"ns"
"sentence_length_std","syllables_per_token_std",-6.02,"****",0,"ns",-2.48,"*",0.03,"ns",-5.94,"****",0.01,"ns"
"syllables_per_token_median","sentiment",62.26,"****",-0.02,"ns",39.67,"****",0.01,"ns",67.45,"****",0.01,"ns"
"syllables_per_token_std","sentence_length_std",6.02,"****",0,"ns",2.48,"*",0.03,"ns",5.94,"****",0.01,"ns"
"syllables_per_token_std","n_tokens",-43.91,"****",-0.08,"ns",-41.93,"****",0.08,"ns",-60.66,"****",0.01,"ns"
"syllables_per_token_std","proportion_unique_tokens",12.18,"****",0.08,"ns",5.59,"****",-0.02,"ns",12.32,"****",0.01,"ns"
"syllables_per_token_std","dependency_distance_std",46.86,"****",0.01,"ns",38.08,"****",0.02,"ns",59.53,"****",0.01,"ns"
"n_tokens","sentiment",49.07,"****",0.02,"ns",46.37,"****",0.01,"ns",67.43,"****",0.01,"ns"
"n_tokens","token_length_std",33.77,"****",-0.11,"*",33.08,"****",0.11,"*",47.21,"****",0.01,"ns"
"n_tokens","syllables_per_token_std",43.91,"****",-0.08,"ns",41.93,"****",0.08,"ns",60.66,"****",0.01,"ns"
"n_unique_tokens","sentiment",52.2,"****",0,"ns",47.46,"****",0.01,"ns",70.3,"****",0.01,"ns"
"n_unique_tokens","token_length_std",34.97,"****",-0.1,"*",33.5,"****",0.11,"*",48.33,"****",0.01,"ns"
"proportion_unique_tokens","valence",-268.97,"****",-0.01,"ns",-200.82,"****",0.02,"ns",-321.75,"****",0.01,"ns"
"proportion_unique_tokens","syllables_per_token_std",-12.18,"****",0.08,"ns",-5.59,"****",-0.02,"ns",-12.32,"****",0.01,"ns"
"proportion_unique_tokens","householdSize",-16.52,"****",-0.03,"ns",-16.38,"****",0.07,"ns",-23.27,"****",0.01,"ns"
"n_characters","arousal",51.08,"****",0.12,"*",48.45,"****",0.02,"ns",70.21,"****",0.01,"ns"
"coleman_liau_index","sentiment",68.44,"****",-0.02,"ns",53.69,"****",0.02,"ns",84.77,"****",0.01,"ns"
"lix","sentiment",77.96,"****",-0.03,"ns",59.34,"****",0.03,"ns",94.77,"****",0.01,"ns"
"rix","householdSize",4.09,"****",-0.01,"ns",0.32,"ns",0.02,"ns",3.14,"**",0.01,"ns"
"dependency_distance_mean","token_length_std",-25.21,"****",-0.09,"ns",-15.05,"****",0.11,"*",-27.7,"****",0.01,"ns"
"dependency_distance_std","syllables_per_token_std",-46.86,"****",0.01,"ns",-38.08,"****",0.02,"ns",-59.53,"****",0.01,"ns"
"householdSize","spelling_errors",18.85,"****",-0.02,"ns",18.01,"****",0.03,"ns",26.07,"****",0.01,"ns"
"householdSize","proportion_unique_tokens",16.52,"****",-0.03,"ns",16.38,"****",0.07,"ns",23.27,"****",0.01,"ns"
"householdSize","rix",-4.09,"****",-0.01,"ns",-0.32,"ns",0.02,"ns",-3.14,"**",0.01,"ns"
"timeTaken","spelling_errors",39.76,"****",0.04,"ns",39.74,"****",-0.02,"ns",56.25,"****",0.01,"ns"
"spelling_errors","valence",-130.15,"****",0.07,"ns",-107.71,"****",-0.01,"ns",-166.02,"****",0.02,"ns"
"sentiment","flesch_kincaid_grade",-65.29,"****",-0.01,"ns",-50.76,"****",0.03,"ns",-80.46,"****",0.02,"ns"
"sentiment","prop_adjacent_dependency_relation_mean",-26.71,"****",0.02,"ns",-14.35,"****",0.02,"ns",-25.53,"****",0.02,"ns"
"sentiment","householdSize",-24.23,"****",0,"ns",-23.66,"****",0.03,"ns",-33.87,"****",0.02,"ns"
"concreteness","age",-65.43,"****",0.09,"ns",-68.04,"****",-0.01,"ns",-94.24,"****",0.02,"ns"
"valence","spelling_errors",130.15,"****",0.07,"ns",107.71,"****",-0.01,"ns",166.02,"****",0.02,"ns"
"valence","syllables_per_token_std",183.02,"****",0.06,"ns",153.38,"****",0,"ns",233.97,"****",0.02,"ns"
"arousal","sentence_length_median",-26.92,"****",0.09,"*",-21.39,"****",0.05,"ns",-34.05,"****",0.02,"ns"
"arousal","householdSize",0.94,"ns",0.04,"ns",4.73,"****",0,"ns",4,"****",0.02,"ns"
"sentence_length_median","arousal",26.92,"****",0.09,"*",21.39,"****",0.05,"ns",34.05,"****",0.02,"ns"
"sentence_length_std","income",-32.4,"****",0.02,"ns",-32.4,"****",0.02,"ns",-45.84,"****",0.02,"ns"
"syllables_per_token_std","valence",-183.02,"****",0.06,"ns",-153.38,"****",0,"ns",-233.97,"****",0.02,"ns"
"syllables_per_token_std","n_unique_tokens",-46.43,"****",-0.07,"ns",-42.83,"****",0.09,"ns",-63,"****",0.02,"ns"
"syllables_per_token_std","dependency_distance_mean",-24.63,"****",-0.07,"ns",-24.35,"****",0.1,"*",-34.43,"****",0.02,"ns"
"syllables_per_token_std","prop_adjacent_dependency_relation_std",65.98,"****",0.02,"ns",55.87,"****",0.04,"ns",85.3,"****",0.02,"ns"
"syllables_per_token_std","income",-32.4,"****",0.06,"ns",-32.4,"****",-0.01,"ns",-45.84,"****",0.02,"ns"
"n_unique_tokens","syllables_per_token_std",46.43,"****",-0.07,"ns",42.83,"****",0.09,"ns",63,"****",0.02,"ns"
"flesch_kincaid_grade","sentiment",65.29,"****",-0.01,"ns",50.76,"****",0.03,"ns",80.46,"****",0.02,"ns"
"flesch_kincaid_grade","dependency_distance_mean",54.73,"****",0.14,"**",41.8,"****",-0.06,"ns",66.91,"****",0.02,"ns"
"gunning_fog","timeTaken",-35.92,"****",0.08,"ns",-36.11,"****",-0.04,"ns",-50.96,"****",0.02,"ns"
"dependency_distance_mean","syllables_per_token_std",24.63,"****",-0.07,"ns",24.35,"****",0.1,"*",34.43,"****",0.02,"ns"
"dependency_distance_mean","flesch_kincaid_grade",-54.73,"****",0.14,"**",-41.8,"****",-0.06,"ns",-66.91,"****",0.02,"ns"
"prop_adjacent_dependency_relation_mean","sentiment",26.71,"****",0.02,"ns",14.35,"****",0.02,"ns",25.53,"****",0.02,"ns"
"prop_adjacent_dependency_relation_std","syllables_per_token_std",-65.98,"****",0.02,"ns",-55.87,"****",0.04,"ns",-85.3,"****",0.02,"ns"
"age","concreteness",65.43,"****",0.09,"ns",68.04,"****",-0.01,"ns",94.24,"****",0.02,"ns"
"income","sentence_length_std",32.4,"****",0.02,"ns",32.4,"****",0.02,"ns",45.84,"****",0.02,"ns"
"income","syllables_per_token_std",32.4,"****",0.06,"ns",32.4,"****",-0.01,"ns",45.84,"****",0.02,"ns"
"householdSize","sentiment",24.23,"****",0,"ns",23.66,"****",0.03,"ns",33.87,"****",0.02,"ns"
"householdSize","arousal",-0.94,"ns",0.04,"ns",-4.73,"****",0,"ns",-4,"****",0.02,"ns"
"timeTaken","gunning_fog",35.92,"****",0.08,"ns",36.11,"****",-0.04,"ns",50.96,"****",0.02,"ns"
"spelling_errors","syllables_per_token_std",-15.54,"****",0.03,"ns",-9.65,"****",0.04,"ns",-17.48,"****",0.03,"ns"
"spelling_errors","rix",-33.54,"****",0.01,"ns",-27.61,"****",0.06,"ns",-42.85,"****",0.03,"ns"
"sentiment","dependency_distance_mean",-54.65,"****",-0.04,"ns",-40.29,"****",0.06,"ns",-64.41,"****",0.03,"ns"
"valence","sentence_length_median",-15.19,"****",-0.06,"ns",-11.8,"****",0.11,"*",-19.05,"****",0.03,"ns"
"valence","dependency_distance_mean",91.92,"****",-0.09,"*",72.69,"****",0.1,"*",114.17,"****",0.03,"ns"
"imageability","coleman_liau_index",-48.49,"****",-0.07,"ns",-39.35,"****",-0.01,"ns",-60.97,"****",0.03,"ns"
"token_length_median","householdSize",20.71,"****",-0.01,"ns",19.32,"****",0.06,"ns",28.3,"****",0.03,"ns"
"token_length_std","sentence_length_std",35.18,"****",0,"ns",27.05,"****",0.07,"ns",43.55,"****",0.03,"ns"
"token_length_std","dependency_distance_std",73.17,"****",0.01,"ns",60.49,"****",0.08,"ns",92.58,"****",0.03,"ns"
"token_length_std","prop_adjacent_dependency_relation_std",79.21,"****",0.01,"ns",66.6,"****",0.06,"ns",100.87,"****",0.03,"ns"
"token_length_std","income",-32.4,"****",0.06,"ns",-32.4,"****",0,"ns",-45.84,"****",0.03,"ns"
"token_length_std","householdSize",2.77,"**",0.02,"ns",-0.02,"ns",0.03,"ns",1.93,"ns",0.03,"ns"
"sentence_length_mean","flesch_kincaid_grade",-18.32,"****",0.08,"ns",-15.62,"****",-0.04,"ns",-23.78,"****",0.03,"ns"
"sentence_length_median","valence",15.19,"****",-0.06,"ns",11.8,"****",0.11,"*",19.05,"****",0.03,"ns"
"sentence_length_median","flesch_kincaid_grade",-18.36,"****",0.08,"ns",-15.67,"****",-0.03,"ns",-23.86,"****",0.03,"ns"
"sentence_length_std","token_length_std",-35.18,"****",0,"ns",-27.05,"****",0.07,"ns",-43.55,"****",0.03,"ns"
"syllables_per_token_mean","livingArea",-26.32,"****",-0.01,"ns",-26.34,"****",0.06,"ns",-37.25,"****",0.03,"ns"
"syllables_per_token_median","householdSize",-8.23,"****",-0.03,"ns",-8.99,"****",0.08,"ns",-12.19,"****",0.03,"ns"
"syllables_per_token_std","spelling_errors",15.54,"****",0.03,"ns",9.65,"****",0.04,"ns",17.48,"****",0.03,"ns"
"syllables_per_token_std","prop_adjacent_dependency_relation_mean",37.99,"****",0.06,"ns",32.6,"****",-0.03,"ns",49.37,"****",0.03,"ns"
"syllables_per_token_std","householdSize",-14.78,"****",0.03,"ns",-15.43,"****",0.03,"ns",-21.37,"****",0.03,"ns"
"flesch_kincaid_grade","sentence_length_mean",18.32,"****",0.08,"ns",15.62,"****",-0.04,"ns",23.78,"****",0.03,"ns"
"flesch_kincaid_grade","sentence_length_median",18.36,"****",0.08,"ns",15.67,"****",-0.03,"ns",23.86,"****",0.03,"ns"
"flesch_kincaid_grade","livingArea",-23.4,"****",-0.05,"ns",-23.64,"****",0.09,"*",-33.28,"****",0.03,"ns"
"coleman_liau_index","imageability",48.49,"****",-0.07,"ns",39.35,"****",-0.01,"ns",60.97,"****",0.03,"ns"
"coleman_liau_index","dependency_distance_mean",60.6,"****",0.12,"**",46.99,"****",-0.02,"ns",74.66,"****",0.03,"ns"
"rix","spelling_errors",33.54,"****",0.01,"ns",27.61,"****",0.06,"ns",42.85,"****",0.03,"ns"
"dependency_distance_mean","sentiment",54.65,"****",-0.04,"ns",40.29,"****",0.06,"ns",64.41,"****",0.03,"ns"
"dependency_distance_mean","valence",-91.92,"****",-0.09,"*",-72.69,"****",0.1,"*",-114.17,"****",0.03,"ns"
"dependency_distance_mean","coleman_liau_index",-60.6,"****",0.12,"**",-46.99,"****",-0.02,"ns",-74.66,"****",0.03,"ns"
"dependency_distance_std","token_length_std",-73.17,"****",0.01,"ns",-60.49,"****",0.08,"ns",-92.58,"****",0.03,"ns"
"dependency_distance_std","income",-32.4,"****",0.01,"ns",-32.4,"****",0.04,"ns",-45.84,"****",0.03,"ns"
"prop_adjacent_dependency_relation_mean","syllables_per_token_std",-37.99,"****",0.06,"ns",-32.6,"****",-0.03,"ns",-49.37,"****",0.03,"ns"
"prop_adjacent_dependency_relation_std","token_length_std",-79.21,"****",0.01,"ns",-66.6,"****",0.06,"ns",-100.87,"****",0.03,"ns"
"income","token_length_std",32.4,"****",0.06,"ns",32.4,"****",0,"ns",45.84,"****",0.03,"ns"
"income","dependency_distance_std",32.4,"****",0.01,"ns",32.4,"****",0.04,"ns",45.84,"****",0.03,"ns"
"householdSize","token_length_median",-20.71,"****",-0.01,"ns",-19.32,"****",0.06,"ns",-28.3,"****",0.03,"ns"
"householdSize","token_length_std",-2.77,"**",0.02,"ns",0.02,"ns",0.03,"ns",-1.93,"ns",0.03,"ns"
"householdSize","syllables_per_token_median",8.23,"****",-0.03,"ns",8.99,"****",0.08,"ns",12.19,"****",0.03,"ns"
"householdSize","syllables_per_token_std",14.78,"****",0.03,"ns",15.43,"****",0.03,"ns",21.37,"****",0.03,"ns"
"livingArea","syllables_per_token_mean",26.32,"****",-0.01,"ns",26.34,"****",0.06,"ns",37.25,"****",0.03,"ns"
"livingArea","flesch_kincaid_grade",23.4,"****",-0.05,"ns",23.64,"****",0.09,"*",33.28,"****",0.03,"ns"
"spelling_errors","flesch_reading_ease",-5.79,"****",0.02,"ns",-8.17,"****",0.05,"ns",-9.95,"****",0.04,"ns"
"spelling_errors","prop_adjacent_dependency_relation_std",15.6,"****",0.09,"ns",15.55,"****",0,"ns",21.94,"****",0.04,"ns"
"sentiment","rix",-42.21,"****",-0.02,"ns",-36.16,"****",0.07,"ns",-54.81,"****",0.04,"ns"
"valence","sentence_length_mean",-15.51,"****",-0.06,"ns",-12.01,"****",0.11,"*",-19.43,"****",0.04,"ns"
"valence","flesch_reading_ease",-2.56,"*",-0.06,"ns",-5.52,"****",0.1,"*",-5.86,"****",0.04,"ns"
"valence","householdSize",18.74,"****",0.08,"ns",18.84,"****",0.01,"ns",26.59,"****",0.04,"ns"
"imageability","flesch_kincaid_grade",-38.6,"****",-0.09,"ns",-31.6,"****",0.01,"ns",-48.65,"****",0.04,"ns"
"token_length_std","prop_adjacent_dependency_relation_mean",68.26,"****",0.05,"ns",57.27,"****",-0.05,"ns",86.82,"****",0.04,"ns"
"sentence_length_mean","valence",15.51,"****",-0.06,"ns",12.01,"****",0.11,"*",19.43,"****",0.04,"ns"
"sentence_length_mean","automated_readability_index",-19.79,"****",0.09,"ns",-17.05,"****",-0.01,"ns",-25.83,"****",0.04,"ns"
"n_characters","flesch_kincaid_grade",43.41,"****",0.07,"ns",41.52,"****",0,"ns",59.9,"****",0.04,"ns"
"flesch_reading_ease","spelling_errors",5.79,"****",0.02,"ns",8.17,"****",0.05,"ns",9.95,"****",0.04,"ns"
"flesch_reading_ease","valence",2.56,"*",-0.06,"ns",5.52,"****",0.1,"*",5.86,"****",0.04,"ns"
"flesch_kincaid_grade","imageability",38.6,"****",-0.09,"ns",31.6,"****",0.01,"ns",48.65,"****",0.04,"ns"
"flesch_kincaid_grade","n_characters",-43.41,"****",0.07,"ns",-41.52,"****",0,"ns",-59.9,"****",0.04,"ns"
"flesch_kincaid_grade","householdSize",43.31,"****",-0.02,"ns",34.39,"****",0.09,"*",54.22,"****",0.04,"ns"
"gunning_fog","householdSize",46.79,"****",-0.01,"ns",37.68,"****",0.08,"ns",58.99,"****",0.04,"ns"
"automated_readability_index","sentence_length_mean",19.79,"****",0.09,"ns",17.05,"****",-0.01,"ns",25.83,"****",0.04,"ns"
"lix","householdSize",72.11,"****",-0.02,"ns",55,"****",0.08,"ns",87.82,"****",0.04,"ns"
"rix","sentiment",42.21,"****",-0.02,"ns",36.16,"****",0.07,"ns",54.81,"****",0.04,"ns"
"rix","prop_adjacent_dependency_relation_mean",36.76,"****",-0.02,"ns",33.12,"****",0.03,"ns",48.84,"****",0.04,"ns"
"prop_adjacent_dependency_relation_mean","token_length_std",-68.26,"****",0.05,"ns",-57.27,"****",-0.05,"ns",-86.82,"****",0.04,"ns"
"prop_adjacent_dependency_relation_mean","rix",-36.76,"****",-0.02,"ns",-33.12,"****",0.03,"ns",-48.84,"****",0.04,"ns"
"prop_adjacent_dependency_relation_mean","householdSize",-20.04,"****",0.06,"ns",-20.35,"****",0.02,"ns",-28.57,"****",0.04,"ns"
"prop_adjacent_dependency_relation_std","spelling_errors",-15.6,"****",0.09,"ns",-15.55,"****",0,"ns",-21.94,"****",0.04,"ns"
"householdSize","valence",-18.74,"****",0.08,"ns",-18.84,"****",0.01,"ns",-26.59,"****",0.04,"ns"
"householdSize","flesch_kincaid_grade",-43.31,"****",-0.02,"ns",-34.39,"****",0.09,"*",-54.22,"****",0.04,"ns"
"householdSize","gunning_fog",-46.79,"****",-0.01,"ns",-37.68,"****",0.08,"ns",-58.99,"****",0.04,"ns"
"householdSize","lix",-72.11,"****",-0.02,"ns",-55,"****",0.08,"ns",-87.82,"****",0.04,"ns"
"householdSize","prop_adjacent_dependency_relation_mean",20.04,"****",0.06,"ns",20.35,"****",0.02,"ns",28.57,"****",0.04,"ns"
"spelling_errors","sentiment",16.18,"****",0.08,"ns",13.73,"****",0.03,"ns",20.62,"****",0.05,"ns"
"sentiment","spelling_errors",-16.18,"****",0.08,"ns",-13.73,"****",0.03,"ns",-20.62,"****",0.05,"ns"
"arousal","sentence_length_std",37.29,"****",0.08,"ns",40.48,"****",-0.01,"ns",54.19,"****",0.05,"ns"
"imageability","syllables_per_token_mean",116,"****",-0.04,"ns",72.63,"****",0.04,"ns",112.47,"****",0.05,"ns"
"imageability","gunning_fog",-42.39,"****",-0.07,"ns",-35.11,"****",0.05,"ns",-53.93,"****",0.05,"ns"
"imageability","automated_readability_index",-37.94,"****",-0.05,"ns",-31.36,"****",0.03,"ns",-48.14,"****",0.05,"ns"
"token_length_std","n_sentences",36.27,"****",0.01,"ns",27.06,"****",0.1,"*",44.09,"****",0.05,"ns"
"sentence_length_median","automated_readability_index",-19.83,"****",0.09,"*",-17.09,"****",-0.01,"ns",-25.9,"****",0.05,"ns"
"sentence_length_std","arousal",-37.29,"****",0.08,"ns",-40.48,"****",-0.01,"ns",-54.19,"****",0.05,"ns"
"syllables_per_token_mean","imageability",-116,"****",-0.04,"ns",-72.63,"****",0.04,"ns",-112.47,"****",0.05,"ns"
"syllables_per_token_mean","householdSize",-6.83,"****",-0.01,"ns",-7.3,"****",0.1,"*",-9.99,"****",0.05,"ns"
"syllables_per_token_median","livingArea",-26.37,"****",0.01,"ns",-26.39,"****",0.08,"ns",-37.33,"****",0.05,"ns"
"syllables_per_token_std","n_sentences",-8.24,"****",0.02,"ns",-11.99,"****",0.08,"ns",-14.32,"****",0.05,"ns"
"syllables_per_token_std","age",-76.15,"****",0.04,"ns",-76.36,"****",0.05,"ns",-107.9,"****",0.05,"ns"
"n_sentences","token_length_std",-36.27,"****",0.01,"ns",-27.06,"****",0.1,"*",-44.09,"****",0.05,"ns"
"n_sentences","syllables_per_token_std",8.24,"****",0.02,"ns",11.99,"****",0.08,"ns",14.32,"****",0.05,"ns"
"gunning_fog","imageability",42.39,"****",-0.07,"ns",35.11,"****",0.05,"ns",53.93,"****",0.05,"ns"
"automated_readability_index","imageability",37.94,"****",-0.05,"ns",31.36,"****",0.03,"ns",48.14,"****",0.05,"ns"
"automated_readability_index","sentence_length_median",19.83,"****",0.09,"*",17.09,"****",-0.01,"ns",25.9,"****",0.05,"ns"
"automated_readability_index","householdSize",42.8,"****",0.02,"ns",34.21,"****",0.08,"ns",53.78,"****",0.05,"ns"
"automated_readability_index","timeTaken",-36.59,"****",0.09,"*",-36.79,"****",0.02,"ns",-51.92,"****",0.05,"ns"
"coleman_liau_index","income",-32.39,"****",0.04,"ns",-32.39,"****",0.07,"ns",-45.83,"****",0.05,"ns"
"coleman_liau_index","householdSize",52.36,"****",0.03,"ns",41.66,"****",0.07,"ns",65.52,"****",0.05,"ns"
"age","syllables_per_token_std",76.15,"****",0.04,"ns",76.36,"****",0.05,"ns",107.9,"****",0.05,"ns"
"income","coleman_liau_index",32.39,"****",0.04,"ns",32.39,"****",0.07,"ns",45.83,"****",0.05,"ns"
"householdSize","syllables_per_token_mean",6.83,"****",-0.01,"ns",7.3,"****",0.1,"*",9.99,"****",0.05,"ns"
"householdSize","automated_readability_index",-42.8,"****",0.02,"ns",-34.21,"****",0.08,"ns",-53.78,"****",0.05,"ns"
"householdSize","coleman_liau_index",-52.36,"****",0.03,"ns",-41.66,"****",0.07,"ns",-65.52,"****",0.05,"ns"
"livingArea","syllables_per_token_median",26.37,"****",0.01,"ns",26.39,"****",0.08,"ns",37.33,"****",0.05,"ns"
"timeTaken","automated_readability_index",36.59,"****",0.09,"*",36.79,"****",0.02,"ns",51.92,"****",0.05,"ns"
"spelling_errors","sentence_length_mean",-40.36,"****",0.02,"ns",-36.95,"****",0.11,"*",-54.52,"****",0.06,"ns"
"spelling_errors","n_sentences",-18.82,"****",0.13,"**",-16.96,"****",0,"ns",-25.2,"****",0.06,"ns"
"sentiment","sentence_length_mean",-44.05,"****",0.03,"ns",-40.86,"****",0.08,"ns",-59.87,"****",0.06,"ns"
"sentiment","sentence_length_median",-43.48,"****",0.03,"ns",-40.47,"****",0.08,"ns",-59.21,"****",0.06,"ns"
"sentiment","livingArea",-26.88,"****",0.02,"ns",-26.89,"****",0.09,"*",-38.04,"****",0.06,"ns"
"concreteness","token_length_std",38.36,"****",-0.1,"*",22.18,"****",-0.1,"*",37.69,"****",0.06,"ns"
"concreteness","rix",18.24,"****",-0.07,"ns",13.65,"****",-0.05,"ns",21.55,"****",0.06,"ns"
"valence","livingArea",-25.49,"****",0.11,"*",-25.49,"****",0.03,"ns",-36.07,"****",0.06,"ns"
"arousal","proportion_unique_tokens",132.65,"****",-0.07,"ns",141.16,"****",-0.04,"ns",163.11,"****",0.06,"ns"
"arousal","dependency_distance_mean",30.02,"****",-0.02,"ns",34.18,"****",0.08,"ns",43.75,"****",0.06,"ns"
"arousal","prop_adjacent_dependency_relation_std",187.16,"****",0.03,"ns",188.33,"****",0.03,"ns",223.38,"****",0.06,"ns"
"arousal","timeTaken",-39.18,"****",0.08,"ns",-39.07,"****",0.06,"ns",-55.36,"****",0.06,"ns"
"imageability","token_length_mean",-18.69,"****",0,"ns",-24.92,"****",0.06,"ns",-29.83,"****",0.06,"ns"
"token_length_mean","imageability",18.69,"****",0,"ns",24.92,"****",0.06,"ns",29.83,"****",0.06,"ns"
"token_length_mean","householdSize",25.76,"****",0.02,"ns",24.05,"****",0.09,"ns",35.21,"****",0.06,"ns"
"token_length_median","income",-32.39,"****",0.02,"ns",-32.39,"****",0.1,"*",-45.84,"****",0.06,"ns"
"token_length_std","concreteness",-38.36,"****",-0.1,"*",-22.18,"****",-0.1,"*",-37.69,"****",0.06,"ns"
"sentence_length_mean","spelling_errors",40.36,"****",0.02,"ns",36.95,"****",0.11,"*",54.52,"****",0.06,"ns"
"sentence_length_mean","sentiment",44.05,"****",0.03,"ns",40.86,"****",0.08,"ns",59.87,"****",0.06,"ns"
"sentence_length_median","sentiment",43.48,"****",0.03,"ns",40.47,"****",0.08,"ns",59.21,"****",0.06,"ns"
"syllables_per_token_median","income",-32.4,"****",-0.01,"ns",-32.4,"****",0.12,"*",-45.84,"****",0.06,"ns"
"proportion_unique_tokens","arousal",-132.65,"****",-0.07,"ns",-141.16,"****",-0.04,"ns",-163.11,"****",0.06,"ns"
"n_characters","automated_readability_index",42.76,"****",0.06,"ns",40.78,"****",0.05,"ns",58.93,"****",0.06,"ns"
"n_sentences","spelling_errors",18.82,"****",0.13,"**",16.96,"****",0,"ns",25.2,"****",0.06,"ns"
"flesch_kincaid_grade","income",-32.39,"****",0.05,"ns",-32.39,"****",0.07,"ns",-45.83,"****",0.06,"ns"
"flesch_kincaid_grade","timeTaken",-36.78,"****",0.1,"*",-37,"****",0.02,"ns",-52.2,"****",0.06,"ns"
"gunning_fog","livingArea",-22.44,"****",0.02,"ns",-22.67,"****",0.1,"*",-31.91,"****",0.06,"ns"
"automated_readability_index","n_characters",-42.76,"****",0.06,"ns",-40.78,"****",0.05,"ns",-58.93,"****",0.06,"ns"
"automated_readability_index","dependency_distance_mean",52.44,"****",0.17,"***",40.52,"****",-0.01,"ns",64.57,"****",0.06,"ns"
"automated_readability_index","income",-32.39,"****",0.04,"ns",-32.39,"****",0.08,"ns",-45.83,"****",0.06,"ns"
"coleman_liau_index","prop_adjacent_dependency_relation_mean",66.58,"****",-0.02,"ns",52.38,"****",0.09,"ns",82.61,"****",0.06,"ns"
"coleman_liau_index","timeTaken",-35.51,"****",0.07,"ns",-35.77,"****",0.05,"ns",-50.43,"****",0.06,"ns"
"rix","concreteness",-18.24,"****",-0.07,"ns",-13.65,"****",-0.05,"ns",-21.55,"****",0.06,"ns"
"dependency_distance_mean","arousal",-30.02,"****",-0.02,"ns",-34.18,"****",0.08,"ns",-43.75,"****",0.06,"ns"
